Epoch,Train_Loss,Train_Accuracy,Train_Dice,Train_Precision,Train_Recall,Train_F1,Train_IoU,Val_Loss,Val_Accuracy,Val_Dice,Val_Precision,Val_Recall,Val_F1,Val_IoU
43,0.2346,0.9811,0.7654,0.7865,0.7722,0.7742,0.6632,0.2792,0.9680,0.7208,0.7785,0.6996,0.7270,0.6116
44,0.2520,0.9797,0.7480,0.7786,0.7562,0.7572,0.6441,0.2911,0.9664,0.7089,0.7979,0.6856,0.7147,0.5983
45,0.2078,0.9807,0.7922,0.8119,0.7938,0.7990,0.6945,0.2878,0.9701,0.7122,0.8480,0.6632,0.7190,0.6079
46,0.2247,0.9810,0.7753,0.8054,0.7782,0.7832,0.6714,0.2917,0.9699,0.7083,0.8635,0.6501,0.7152,0.6033
47,0.2250,0.9809,0.7750,0.8128,0.7725,0.7828,0.6740,0.2847,0.9683,0.7153,0.8114,0.6796,0.7216,0.6065
48,0.2366,0.9805,0.7634,0.7813,0.7751,0.7710,0.6654,0.2942,0.9682,0.7058,0.8416,0.6665,0.7118,0.5985
49,0.2182,0.9813,0.7818,0.8129,0.7795,0.7903,0.6802,0.2913,0.9700,0.7087,0.8653,0.6558,0.7155,0.6046
50,0.2365,0.9800,0.7635,0.7770,0.7812,0.7722,0.6621,0.2818,0.9669,0.7182,0.7839,0.6985,0.7252,0.6081
51,0.2173,0.9815,0.7827,0.8106,0.7833,0.7912,0.6837,0.2908,0.9701,0.7092,0.8633,0.6543,0.7159,0.6050
52,0.2060,0.9812,0.7940,0.8150,0.7980,0.8027,0.6979,0.2789,0.9689,0.7211,0.7971,0.6945,0.7283,0.6149
53,0.2045,0.9814,0.7955,0.8196,0.7957,0.8044,0.6949,0.2904,0.9701,0.7096,0.8613,0.6579,0.7165,0.6058
54,0.2280,0.9811,0.7720,0.7933,0.7750,0.7815,0.6702,0.2762,0.9695,0.7238,0.8012,0.6982,0.7309,0.6185
55,0.2034,0.9821,0.7966,0.8280,0.7856,0.8044,0.7020,0.2856,0.9703,0.7144,0.8449,0.6694,0.7216,0.6113
56,0.2198,0.9817,0.7802,0.8166,0.7780,0.7890,0.6779,0.2901,0.9697,0.7099,0.8550,0.6602,0.7162,0.6047
57,0.2194,0.9814,0.7806,0.8122,0.7775,0.7895,0.6801,0.2867,0.9705,0.7133,0.8554,0.6635,0.7206,0.6104
58,0.2007,0.9814,0.7993,0.8287,0.7962,0.8079,0.7002,0.2900,0.9699,0.7100,0.8494,0.6597,0.7171,0.6061
59,0.2138,0.9818,0.7862,0.8131,0.7905,0.7958,0.6871,0.2756,0.9685,0.7244,0.7828,0.7073,0.7316,0.6178
60,0.2052,0.9822,0.7948,0.8209,0.7950,0.8036,0.6958,0.2839,0.9702,0.7161,0.8412,0.6682,0.7229,0.6114
61,0.2246,0.9821,0.7754,0.8053,0.7795,0.7879,0.6808,0.2785,0.9703,0.7215,0.8256,0.6823,0.7288,0.6176
62,0.2102,0.9817,0.7898,0.8077,0.7960,0.7982,0.6934,0.2818,0.9702,0.7182,0.8372,0.6723,0.7250,0.6134
63,0.2152,0.9823,0.7848,0.8194,0.7766,0.7943,0.6814,0.2882,0.9704,0.7118,0.8621,0.6551,0.7183,0.6073
64,0.2053,0.9817,0.7947,0.8211,0.7962,0.8031,0.6961,0.3132,0.9694,0.6868,0.9139,0.6123,0.6936,0.5831
65,0.2012,0.9821,0.7988,0.8248,0.7977,0.8076,0.7024,0.2899,0.9705,0.7101,0.8704,0.6532,0.7169,0.6064
66,0.2115,0.9821,0.7885,0.8148,0.7863,0.7976,0.6888,0.2838,0.9704,0.7162,0.8448,0.6669,0.7232,0.6121
67,0.1937,0.9824,0.8063,0.8350,0.8069,0.8151,0.7123,0.2877,0.9705,0.7123,0.8604,0.6582,0.7194,0.6087
68,0.2434,0.9813,0.7566,0.7816,0.7637,0.7659,0.6577,0.2861,0.9705,0.7139,0.8533,0.6639,0.7210,0.6107
69,0.2106,0.9824,0.7894,0.8152,0.7894,0.7993,0.6939,0.2906,0.9704,0.7094,0.8676,0.6551,0.7164,0.6063
